State,State Code,Metric,2013,2017,2021,2025
Arizona,AZ,fh-read,1.694802082,0.071413862,-0.038768518,0.566001979
Arizona,AZ,fh-spf,1.14123046,1.361036102,1.847747676,2.123057521
Arizona,AZ,fh-time,1.080469013,1.910280504,1.679228976,1.03963034
Arizona,AZ,fh-tv,1.020408163,1.020408163,0,0
Arizona,AZ,fh-uw,0.088861236,0.18711207,0.093801855,0.065774647
Arizona,AZ,sc-born,-1.161715675,-1.026791857,-0.931878307,-1.046284396
Arizona,AZ,sc-eng-a,-0.128535495,0.189962219,0.530626662,0.769708678
Arizona,AZ,sc-eng-c,-1.242027922,0.412241668,1.048461721,0.986784403
Arizona,AZ,sc-mid,1.833333253,1.808743315,2.051018773,1.896879662
Arizona,AZ,sm-em,-0.058901708,-0.058901708,-0.058901708,-0.058901708
Arizona,AZ,sm-grad,0.48903393,0.822091458,1.541966291,2.5176922
Arizona,AZ,sm-hr,0.681903444,0.197106533,1.587593852,2.619018797
Arizona,AZ,sm-neet,-2.279554662,-0.239317002,1.325689009,1.680841283
Arizona,AZ,st-fc,-14.1206138,0.277176876,0.4224018,4.057733129
Arizona,AZ,st-fc trust,3.150375534,3.279797356,3.749047912,4.149884975
Arizona,AZ,st-fcc,1.940340068,1.087763485,1.598060584,2.164558609
Arizona,AZ,st-vc,1.601322616,1.636916396,1.262949918,1.644277602
Arkansas,AR,Civic Engagement,-0.073729245,3.090708612,3.164184357,0.258253268
Arkansas,AR,Community Life,5.405645217,6.725725657,3.348207814,-0.960065881
Arkansas,AR,Family Health,6.627359506,3.861493176,2.021465443,5.020340321
Arkansas,AR,Future Generations,9.813667364,7.075290232,5.001288371,3.177743359
Arkansas,AR,Social Cohesion,9.456332287,9.56382253,9.602184132,9.730590483
Arkansas,AR,Social Mobility,2.621812117,3.077696711,6.139027193,7.255432461
Arkansas,AR,Social Trust,5.859283501,7.114478027,7.309177746,8.842124783
Arkansas,AR,Total,39.71037075,40.50921495,36.58553506,33.32441879
Arkansas,AR,ce-ao,1.876237607,1.891371044,1.881997812,1.882333944
Arkansas,AR,ce-vt,-1.803415218,0.661246441,-1.482035422,-1.720774699
Arkansas,AR,cl-cdd,0.232458602,0.017265785,-1.972319155,-2.090227148
Arkansas,AR,cl-don,-0.156173407,0.465831914,1.029377063,0.069658556
Arkansas,AR,cl-mem,-0.332452125,-0.066738613,-0.075435419,-0.026759036
Arkansas,AR,cl-np,0.724505454,0.722607099,0.977350446,0.306792116
Arkansas,AR,cl-npo,0.893027473,0.696734117,0.741527435,0.500437327
Arkansas,AR,cl-porg,0.784991632,0.798377929,0.788273471,0.703486985
Arkansas,AR,cl-rel,2.622591907,1.541796354,0.22082401,0.22082401
Arkansas,AR,cl-ta,0.853517861,1.243292703,0.502596813,-0.503430105
Arkansas,AR,cl-tfn,1.172487276,0.596312505,0.633237628,-2.503805824
Arkansas,AR,cl-vol,-0.432345401,1.45011875,-0.492193189,0.579522206
Arkansas,AR,cv-pm,-0.146551633,0.538091126,2.764221966,0.096694023
Arkansas,AR,fg-act,0.975697262,-0.442236937,1.422283371,-0.358731125
Arkansas,AR,fg-br,1.98242119,1.882322182,1.098213292,0.581035088
Arkansas,AR,fg-play,0.861931866,0.577575568,0.371554571,0.402862188
Arkansas,AR,fg-read,0.951390187,-0.591510392,0.186736963,0.492609887
Arkansas,AR,fg-sch,3.024950483,1.557489371,1.379302604,0.879370264
Arkansas,AR,fg-yorg,0.673141371,0.699473033,0.48512178,0.255228033
Arkansas,AR,fh-eat,2.726875444,1.956454271,3.136111035,3.320621144
Arkansas,AR,fh-ed,-0.087470869,-1.095599317,-1.671882067,-0.047058899
Arkansas,AR,fh-ma,1.352691737,1.21437651,1.043734016,0.797903764
Arkansas,AR,fh-read,2.067239746,-0.666493689,-1.13238178,-0.084186779
Arkansas,AR,fh-spf,0.251175192,0.484983586,0.462889431,0.716057186
Arkansas,AR,fh-time,0.168849146,1.893315471,0.57556699,1.166496898
Arkansas,AR,fh-tv,1.19047619,1.19047619,0,0
Arkansas,AR,fh-uw,0.14799911,0.074456345,-0.055661275,-0.012769606
Arkansas,AR,sc-born,2.391714284,2.463279718,2.28093057,2.22988906
Arkansas,AR,sc-eng-a,2.884727035,2.895701546,2.878876418,2.847690608
Arkansas,AR,sc-eng-c,2.506106624,2.545387239,2.901999208,2.936102754
Arkansas,AR,sc-mid,1.673784344,1.659454027,1.540377935,1.71690806
Arkansas,AR,sm-em,3.702668566,3.702668566,3.702668566,3.702668566
Arkansas,AR,sm-grad,-1.341480173,-0.906963364,-0.456410752,0.372150994
Arkansas,AR,sm-hr,2.084169685,1.532735488,1.870235409,2.447478906
Arkansas,AR,sm-neet,-1.823545961,-1.250743979,1.02253397,0.733133995
Arkansas,AR,st-fc,2.189282731,2.491439584,2.869987253,2.972845249
Arkansas,AR,st-fc trust,1.162100703,2.05139175,2.781950449,3.010760025
Arkansas,AR,st-fcc,1.581492884,2.104649118,1.697427747,3.273684551
Arkansas,AR,st-vc,0.926407182,0.466997576,-0.040187702,-0.415165042
California,CA,Civic Engagement,3.641562868,3.084680769,8.68760593,5.695695104
California,CA,Community Life,6.633862937,5.906210962,-0.321088241,-2.946330016
California,CA,Family Health,11.40033069,10.16848155,1.851036754,1.006394226
California,CA,Future Generations,7.913983049,5.711538767,4.398430608,4.059525994
California,CA,Social Cohesion,-7.511197593,-5.564011743,-3.876494335,-3.90072631
California,CA,Social Mobility,0.226663957,2.382470803,5.118092018,6.22643707
California,CA,Social Trust,10.81734517,10.77598724,11.65094185,11.53468516
California,CA,Total,33.12255108,32.46535835,27.50852459,21.67568123
California,CA,ce-ao,1.977202234,2.039636744,2.004545509,2.049785862
California,CA,ce-vt,0.124863561,0.317507793,3.614129923,2.218423378
California,CA,cl-cdd,1.71335649,1.650682978,-0.585564287,-0.91872299
California,CA,cl-don,0.13836573,0.148232896,-1.124285378,-0.646219065
California,CA,cl-mem,0.404348972,0.096679706,0.072021079,0.143102841
California,CA,cl-np,0.714447354,0.548337475,0.327897254,0.342674832
California,CA,cl-npo,0.682386559,0.766552904,0.685282798,0.580089193
California,CA,cl-porg,0.740655463,0.745616552,0.731323461,0.690673129
California,CA,cl-rel,0.581089195,0.340912405,-0.980059938,-0.980059938
California,CA,cl-ta,1.577208859,1.310670926,0.555243826,-1.051669046
California,CA,cl-tfn,2.06838047,1.846161009,0.647569832,-1.620025347
California,CA,cl-vol,0.441427689,0.651384563,-0.908183919,-0.062221782
California,CA,cv-pm,1.539497073,0.727536232,3.068930498,1.427485864
California,CA,fg-act,1.678082579,1.36282581,1.340080175,1.062912425
California,CA,fg-br,2.099203365,1.465242985,0.414203409,-0.444979737
California,CA,fg-play,1.649900239,1.145637577,1.093735437,1.131245629
California,CA,fg-read,1.071453446,1.738629543,1.169591465,0.987209057
California,CA,fg-sch,0.619204208,0.163136601,0.607882255,0.678423662
California,CA,fg-yorg,0.907680887,1.033675348,0.816465971,1.341661109
California,CA,fh-eat,2.585494025,1.830330751,3.876646613,2.001010052
California,CA,fh-ed,1.771988587,1.6590591,-0.320128214,0.768395012
California,CA,fh-ma,1.153872216,1.312451585,1.554078099,1.177440813
California,CA,fh-read,1.00889911,-0.558872673,1.117640303,1.097235205
California,CA,fh-spf,3.391293512,3.879794131,4.759299161,5.010748579
California,CA,fh-time,0.528871699,0.952845935,0.74118073,0.688470748
California,CA,fh-tv,1.19047619,1.19047619,0,0
California,CA,fh-uw,0.959911542,1.09287272,-9.569173812,-9.569173812
California,CA,sc-born,1.312654552,1.391724538,1.594762611,1.618720575
California,CA,sc-eng-a,-4.563615125,-4.184272406,-3.61129813,-3.524499776
California,CA,sc-eng-c,-5.116416245,-3.489455188,-2.839373638,-3.017368448
California,CA,sc-mid,0.856179224,0.717991314,0.979414823,1.02242134
California,CA,sm-em,0.939065752,0.939065752,0.939065752,0.939065752
California,CA,sm-grad,1.577459785,2.151371883,2.952066222,3.679178952
California,CA,sm-hr,-1.68738593,-2.115767401,-1.523399326,-0.868662765
California,CA,sm-neet,-0.602475649,1.407800569,2.750359371,2.476855131
California,CA,st-fc,2.731723607,3.111452154,3.727570415,3.87175188
California,CA,st-fc trust,3.761361901,3.873840005,3.865106052,4.0571327
California,CA,st-fcc,2.701728382,2.31694031,2.730032536,2.93149494
California,CA,st-vc,1.622531278,1.47375477,1.328232849,0.674305641
Colorado,CO,Civic Engagement,13.56228709,10.45819084,13.43205376,12.40953379
Colorado,CO,Community Life,7.907640239,7.641740686,4.131242407,5.507610425
Colorado,CO,Family Health,14.31677782,12.19330421,10.86126127,9.887135969
Colorado,CO,Future Generations,15.55791457,12.48450903,10.16913585,11.09698135
Colorado,CO,Social Cohesion,3.533158916,4.403466636,5.18066345,4.703922407
Colorado,CO,Social Mobility,7.302877369,9.884353887,12.94696362,14.60281879
Colorado,CO,Social Trust,12.75740291,14.06844023,13.39742554,14.5429104
Colorado,CO,Total,74.93805891,71.13400552,70.11874589,72.75091313
Colorado,CO,ce-ao,2.730712948,2.096162925,2.019992877,2.017698238
Colorado,CO,ce-vt,6.047434096,5.629089424,4.76191491,7.296224163
Colorado,CO,cl-cdd,1.883355393,1.342071577,-1.164728381,-1.483655839
Colorado,CO,cl-don,1.857510931,1.517200809,1.522404088,2.564132855
Colorado,CO,cl-mem,1.309870746,0.722271002,1.113063858,0.858624331
Colorado,CO,cl-np,2.386019591,1.948205203,1.193869014,0.915831579
Colorado,CO,cl-npo,0.692767227,0.723285827,0.638128003,0.917685217
Colorado,CO,cl-porg,0.807324912,0.802005823,0.78538611,0.701966123
Colorado,CO,cl-rel,0.100735615,0.22082401,-0.980059938,-0.980059938
Colorado,CO,cl-ta,1.512614415,0.672256833,0.249433398,-0.335456155
Colorado,CO,cl-tfn,0.271170011,1.107884192,0.339170872,0.15390223
Colorado,CO,cl-vol,1.355646381,1.876012191,0.463716016,1.626815761
Colorado,CO,cv-pm,4.784140043,2.732938491,6.650145975,3.095611387
Colorado,CO,fg-act,1.404828589,2.112437639,0.133716898,0.830027932
Colorado,CO,fg-br,1.590366745,1.164945964,0.097223219,-0.286489642
Colorado,CO,fg-play,4.189986409,2.724445765,3.252976058,3.133567344
Colorado,CO,fg-read,1.656485618,3.103700717,1.854328614,1.047579057
Colorado,CO,fg-sch,0.527741669,0.035387958,0.234013289,0.106474188
Colorado,CO,fg-yorg,4.063848222,4.398226331,3.195211333,4.444435675
Colorado,CO,fh-eat,3.141693741,1.338240248,3.04018301,1.130838124
Colorado,CO,fh-ed,2.397116126,1.88400481,-0.139981257,1.672266397
Colorado,CO,fh-ma,1.305320345,1.517424118,1.512546708,0.992014542
Colorado,CO,fh-read,3.819943928,2.263428664,2.117422787,1.061464162
Colorado,CO,fh-spf,0.611358375,1.127266839,1.403120941,1.259333188
Colorado,CO,fh-time,-0.439634298,0.501327775,-0.590046102,0.439827366
Colorado,CO,fh-tv,1.020408163,1.020408163,0,0
Colorado,CO,fh-uw,3.4809796,3.561611753,3.518015179,3.331392191
Colorado,CO,sc-born,-0.541756766,-0.49057124,-0.564478603,-0.737699435
Colorado,CO,sc-eng-a,1.344777256,1.569623209,1.821049869,1.886843209
Colorado,CO,sc-eng-c,0.765343573,1.328678132,1.777826468,1.497693001
Colorado,CO,sc-mid,1.964794853,1.995736534,2.146265716,2.057085633
Colorado,CO,sm-em,1.36128315,1.36128315,1.36128315,1.36128315
Colorado,CO,sm-grad,3.448412988,4.191006725,5.190592112,6.294480139
Colorado,CO,sm-hr,1.508232285,1.373639516,2.28347658,2.583488745
Colorado,CO,sm-neet,0.984948947,2.958424495,4.11161178,4.363566757
Colorado,CO,st-fc,4.096480086,4.635156798,4.580168312,5.53765087
Colorado,CO,st-fc trust,3.215932308,3.619525361,3.960235231,4.542638931
Colorado,CO,st-fcc,2.878526985,3.282150628,2.976239205,3.454027217
Colorado,CO,st-vc,2.566463531,2.531607446,1.880782788,1.008593385
Connecticut,CT,Civic Engagement,7.304619178,8.961030776,12.0916275,10.36778287
Connecticut,CT,Community Life,8.682041623,7.447841814,5.970027033,1.272615606
Connecticut,CT,Family Health,7.043792226,7.047177956,3.284915284,7.487943348
Connecticut,CT,Future Generations,-0.152156729,0.305779956,-1.143446879,-0.720337469
Connecticut,CT,Social Cohesion,5.117368886,4.969952295,4.485882575,4.327737755
Connecticut,CT,Social Mobility,9.700224283,11.45107568,12.33363685,14.07161218
Connecticut,CT,Social Trust,11.06875418,10.23983126,13.54407956,14.24371104
Connecticut,CT,Total,48.76464365,50.42268974,50.56672192,51.05106534
Connecticut,CT,ce-ao,1.973436552,1.909110541,1.902145725,1.890141044
Connecticut,CT,ce-vt,2.512256335,3.04946562,4.302800915,4.523175633
Connecticut,CT,cl-cdd,2.827112032,2.610745632,-0.992335661,-1.365527039
Connecticut,CT,cl-don,1.772112153,1.123142057,2.483621146,2.01727155
Connecticut,CT,cl-mem,0.899521639,0.131403787,1.014694324,-0.004271164
Connecticut,CT,cl-np,0.061475321,-0.007586412,0.16619643,-0.050921411
Connecticut,CT,cl-npo,0.756883352,0.819287837,0.734489663,0.548516108
Connecticut,CT,cl-porg,0.744885019,0.736747455,0.729451133,0.69177403
Connecticut,CT,cl-rel,0.22082401,-0.01935278,-1.340325123,-1.340325123
Connecticut,CT,cl-ta,1.187792015,0.646017008,0.020661089,-1.313765124
Connecticut,CT,cl-tfn,1.994882347,2.249703212,1.559989676,-1.435478995
Connecticut,CT,cl-vol,1.105141089,1.760893236,0.767445126,2.108894323
Connecticut,CT,cv-pm,2.818926291,4.002454615,5.886680858,3.954466197
Connecticut,CT,fg-act,2.524685407,2.219867601,-0.805892417,0.886157156
Connecticut,CT,fg-br,-0.328197561,-0.711910423,-0.995524277,-1.04557378
Connecticut,CT,fg-play,-0.65320175,-0.245710413,-0.57886675,-0.664576866
Connecticut,CT,fg-read,1.735421701,3.614231674,0.042949665,-0.122601901
