State,Year,Column1,Metric,Data,Datum,Raw Data,Adjusted Data,Bookmark,Mountain States,Metric Name
Minnesota,2021,3,Community Life,7.067199223,,-0.010592109,7.067199223,,,
Mississippi,2021,3,Community Life,1.445535035,,-0.797625095,1.445535035,,,
Missouri,2021,3,Community Life,5.013743938,,-0.298075849,5.013743938,,,
Montana,2021,3,Community Life,4.842082581,,-0.322108439,4.842082581,,1,
Nebraska,2021,3,Community Life,7.90521742,,0.106730439,7.90521742,,,
United States,2013,3.9,cl-ta,1.386260231,313.4097466,0.55,1.386260231,,,Time spent alone
United States,2017,3.9,cl-ta,0.89871164,333.0636136,0.01,0.89871164,,,Time spent alone
United States,2021,3.9,cl-ta,0.446560835,351.2905391,-0.5,0.446560835,,,Time spent alone
United States,2025,3.9,cl-ta,-0.946527564,407.4481706,-2.06,-0.946527564,,,Time spent alone
Utah,2021,3.8,cl-tfn,-0.783656656,44.33279687,-1.88,-0.783656656,,1,Time spent with friends and neighbors
Utah,2025,3.8,cl-tfn,-2.207372407,31.48222727,-3.47,-2.207372407,,1,Time spent with friends and neighbors
Utah,2013,3.2,cl-vol,4.136391014,0.452588143,3.63,4.136391014,,1,Share of adults who report volunteering
Utah,2017,3.2,cl-vol,5.14066507,0.509693476,4.76,5.14066507,,1,Share of adults who report volunteering
Nevada,2021,3,Community Life,-1.534366451,,-1.214811303,-1.534366451,,1,
New Hampshire,2021,3,Community Life,3.407399668,,-0.522964046,3.407399668,,,
New Jersey,2021,3,Community Life,2.833273395,,-0.603341725,2.833273395,,,
New Mexico,2021,3,Community Life,-1.134288356,,-1.15880037,-1.134288356,,1,
New York,2021,3,Community Life,2.264684574,,-0.68294416,2.264684574,,,
North Carolina,2021,3,Community Life,2.611303794,,-0.634417469,2.611303794,,,
North Dakota,2021,3,Community Life,4.748254476,,-0.335244373,4.748254476,,,
Ohio,2021,3,Community Life,2.12499309,,-0.702500967,2.12499309,,,
Oklahoma,2021,3,Community Life,3.278374421,,-0.541027581,3.278374421,,,
