State,State Code,Metric,Year,Value
Connecticut,CT,fh-ed,2013,0.6
Connecticut,CT,fh-ma,2013,1.2
Connecticut,CT,fh-read,2013,2.3
Connecticut,CT,fh-spf,2013,1.1
Connecticut,CT,fh-time,2013,0.4
Connecticut,CT,fh-tv,2013,1.2
Connecticut,CT,fh-uw,2013,1.2
Connecticut,CT,sc-born,2013,1.5
Connecticut,CT,sc-eng-a,2013,0.5
Connecticut,CT,sc-eng-c,2013,1.6
Connecticut,CT,sc-mid,2013,1.5
Connecticut,CT,sm-em,2013,2.1
Connecticut,CT,sm-grad,2013,3.3
Connecticut,CT,sm-hr,2013,2.9
Connecticut,CT,sm-neet,2013,1.4
Connecticut,CT,st-fc,2013,2.8
Connecticut,CT,st-fc trust,2013,2.4
Connecticut,CT,st-fcc,2013,3.0
Connecticut,CT,st-vc,2013,2.9
Delaware,DE,Civic Engagement,2013,12.5
Delaware,DE,Community Life,2013,7.9
Delaware,DE,Family Health,2013,7.6
Delaware,DE,Future Generations,2013,7.2
Delaware,DE,Social Cohesion,2013,6.4
Delaware,DE,Social Mobility,2013,7.0
Delaware,DE,Social Trust,2013,5.2
Delaware,DE,Total,2013,53.9
Delaware,DE,ce-ao,2013,1.9
Delaware,DE,ce-vt,2013,4.6
Delaware,DE,cl-cdd,2013,1.7
Delaware,DE,cl-don,2013,1.2
Delaware,DE,cl-mem,2013,0.3
Delaware,DE,cl-np,2013,0.3
Delaware,DE,cl-npo,2013,1.0
Delaware,DE,cl-porg,2013,0.8
Delaware,DE,cl-rel,2013,0.8
Delaware,DE,cl-ta,2013,1.1
Delaware,DE,cl-tfn,2013,2.1
Delaware,DE,cl-vol,2013,0.7
Delaware,DE,cv-pm,2013,6.0
Delaware,DE,fg-act,2013,-0.4
Delaware,DE,fg-br,2013,1.3
Delaware,DE,fg-play,2013,0.0
Delaware,DE,fg-read,2013,1.7
Delaware,DE,fg-sch,2013,1.7
Delaware,DE,fg-yorg,2013,1.8
Delaware,DE,fh-eat,2013,1.7
Delaware,DE,fh-ed,2013,0.0
Delaware,DE,fh-ma,2013,1.2
Delaware,DE,fh-read,2013,2.7
Delaware,DE,fh-spf,2013,1.8
Delaware,DE,fh-time,2013,0.4
Delaware,DE,fh-tv,2013,1.2
Delaware,DE,fh-uw,2013,-0.3
Delaware,DE,sc-born,2013,-0.1
Delaware,DE,sc-eng-a,2013,2.3
Delaware,DE,sc-eng-c,2013,1.6
Delaware,DE,sc-mid,2013,2.6
Delaware,DE,sm-em,2013,1.9
Delaware,DE,sm-grad,2013,1.2
Delaware,DE,sm-hr,2013,3.4
Delaware,DE,sm-neet,2013,0.5
Delaware,DE,st-fc,2013,3.0
Delaware,DE,st-fc trust,2013,0.7
Delaware,DE,st-fcc,2013,1.4
Delaware,DE,st-vc,2013,0.1
District of Columbia,DC,Community Life,2013,25.8
District of Columbia,DC,Family Health,2013,-1.7
District of Columbia,DC,Future Generations,2013,23.4
District of Columbia,DC,Social Mobility,2013,10.7
District of Columbia,DC,Social Trust,2013,-69.8
District of Columbia,DC,ce-ao,2013,23.3
District of Columbia,DC,ce-vt,2013,8.6
District of Columbia,DC,cl-cdd,2013,2.3
District of Columbia,DC,cl-don,2013,-0.2
District of Columbia,DC,cl-mem,2013,2.7
District of Columbia,DC,cl-np,2013,3.3
District of Columbia,DC,cl-npo,2013,8.5
District of Columbia,DC,cl-porg,2013,7.6
District of Columbia,DC,cl-rel,2013,1.1
District of Columbia,DC,cl-ta,2013,-0.5
District of Columbia,DC,cl-tfn,2013,5.2
District of Columbia,DC,cl-vol,2013,1.5
District of Columbia,DC,fg-act,2013,0.7
District of Columbia,DC,fg-br,2013,3.5
District of Columbia,DC,fg-play,2013,4.4
District of Columbia,DC,fg-read,2013,0.1
District of Columbia,DC,fg-sch,2013,3.3
District of Columbia,DC,fg-yorg,2013,4.4
District of Columbia,DC,fh-eat,2013,2.3
District of Columbia,DC,fh-ed,2013,-1.5
District of Columbia,DC,fh-ma,2013,-5.2
District of Columbia,DC,fh-read,2013,5.6
District of Columbia,DC,fh-spf,2013,-1.5
District of Columbia,DC,fh-time,2013,-0.7
District of Columbia,DC,fh-tv,2013,1.2
District of Columbia,DC,fh-uw,2013,-0.7
District of Columbia,DC,sc-born,2013,-1.2
District of Columbia,DC,sc-eng-a,2013,2.3
District of Columbia,DC,sc-eng-c,2013,2.2
District of Columbia,DC,sm-em,2013,7.6
District of Columbia,DC,sm-grad,2013,8.1
District of Columbia,DC,sm-hr,2013,-5.2
District of Columbia,DC,sm-neet,2013,0.2
District of Columbia,DC,st-fc,2013,-16.6
District of Columbia,DC,st-fc trust,2013,-6.6
District of Columbia,DC,st-fcc,2013,-40.5
District of Columbia,DC,st-vc,2013,-6.1
Florida,FL,Civic Engagement,2013,4.3
Florida,FL,Community Life,2013,3.9
Florida,FL,Family Health,2013,4.1
Florida,FL,Future Generations,2013,4.9
Florida,FL,Social Cohesion,2013,-1.4
Florida,FL,Social Mobility,2013,0.6
Florida,FL,Social Trust,2013,1.3
Florida,FL,Total,2013,17.5
Florida,FL,ce-ao,2013,2.3
Florida,FL,ce-vt,2013,1.6
Florida,FL,cl-cdd,2013,0.2
Florida,FL,cl-don,2013,-0.7
Florida,FL,cl-mem,2013,0.0
Florida,FL,cl-np,2013,0.8
Florida,FL,cl-npo,2013,0.6
Florida,FL,cl-porg,2013,0.8
Florida,FL,cl-rel,2013,1.1
Florida,FL,cl-ta,2013,0.8
Florida,FL,cl-tfn,2013,1.6
Florida,FL,cl-vol,2013,-0.4
Florida,FL,cv-pm,2013,0.3
Florida,FL,fg-act,2013,0.5
Florida,FL,fg-br,2013,0.3
Florida,FL,fg-play,2013,2.0
Florida,FL,fg-read,2013,0.4
Florida,FL,fg-sch,2013,0.2
Florida,FL,fg-yorg,2013,0.7
Florida,FL,fh-eat,2013,1.5
Florida,FL,fh-ed,2013,-0.7
Florida,FL,fh-ma,2013,0.6
Florida,FL,fh-read,2013,1.4
Florida,FL,fh-spf,2013,0.9
