State,State Code,Metric,2013,2017,2021,2025
Arkansas,AR,Social Mobility,2.6,3.1,6.1,7.3
Arkansas,AR,Social Trust,5.9,7.1,7.3,8.8
Arkansas,AR,Total,39.7,40.5,36.6,33.3
Arkansas,AR,ce-ao,1.9,1.9,1.9,1.9
Arkansas,AR,ce-vt,-1.8,0.7,-1.5,-1.7
Arkansas,AR,cl-cdd,0.2,0,-2,-2.1
Arkansas,AR,cl-don,-0.2,0.5,1,0.1
Arkansas,AR,cl-mem,-0.3,-0.1,-0.1,0
Arkansas,AR,cl-np,0.7,0.7,1,0.3
Arkansas,AR,cl-npo,0.9,0.7,0.7,0.5
Arkansas,AR,cl-porg,0.8,0.8,0.8,0.7
Arkansas,AR,cl-rel,2.6,1.5,0.2,0.2
Arkansas,AR,cl-ta,0.9,1.2,0.5,-0.5
Arkansas,AR,cl-tfn,1.2,0.6,0.6,-2.5
Arkansas,AR,cl-vol,-0.4,1.5,-0.5,0.6
Arkansas,AR,cv-pm,-0.1,0.5,2.8,0.1
Arkansas,AR,fg-act,1,-0.4,1.4,-0.4
Arkansas,AR,fg-br,2,1.9,1.1,0.6
Arkansas,AR,fg-play,0.9,0.6,0.4,0.4
Arkansas,AR,fg-read,1,-0.6,0.2,0.5
Arkansas,AR,fg-sch,3,1.6,1.4,0.9
Arkansas,AR,fg-yorg,0.7,0.7,0.5,0.3
Arkansas,AR,fh-eat,2.7,2,3.1,3.3
Arkansas,AR,fh-ed,-0.1,-1.1,-1.7,0
Arkansas,AR,fh-ma,1.4,1.2,1,0.8
Arkansas,AR,fh-read,2.1,-0.7,-1.1,-0.1
Arkansas,AR,fh-spf,0.3,0.5,0.5,0.7
Arkansas,AR,fh-time,0.2,1.9,0.6,1.2
Arkansas,AR,fh-tv,1.2,1.2,0,0
Arkansas,AR,fh-uw,0.1,0.1,-0.1,0
Arkansas,AR,sc-born,2.4,2.5,2.3,2.2
Arkansas,AR,sc-eng-a,2.9,2.9,2.9,2.8
Arkansas,AR,sc-eng-c,2.5,2.5,2.9,2.9
Arkansas,AR,sc-mid,1.7,1.7,1.5,1.7
Arkansas,AR,sm-em,3.7,3.7,3.7,3.7
Arkansas,AR,sm-grad,-1.3,-0.9,-0.5,0.4
Arkansas,AR,sm-hr,2.1,1.5,1.9,2.4
Arkansas,AR,sm-neet,-1.8,-1.3,1,0.7
Arkansas,AR,st-fc,2.2,2.5,2.9,3
Arkansas,AR,st-fc trust,1.2,2.1,2.8,3
Arkansas,AR,st-fcc,1.6,2.1,1.7,3.3
Arkansas,AR,st-vc,0.9,0.5,0,-0.4
California,CA,Civic Engagement,3.6,3.1,8.7,5.7
California,CA,Community Life,6.6,5.9,-0.3,-2.9
California,CA,Family Health,11.4,10.2,1.9,1
California,CA,Future Generations,7.9,5.7,4.4,4.1
California,CA,Social Cohesion,-7.5,-5.6,-3.9,-3.9
California,CA,Social Mobility,0.2,2.4,5.1,6.2
California,CA,Social Trust,10.8,10.8,11.7,11.5
California,CA,Total,33.1,32.5,27.5,21.7
California,CA,ce-ao,2,2,2,2
California,CA,ce-vt,0.1,0.3,3.6,2.2
California,CA,cl-cdd,1.7,1.7,-0.6,-0.9
California,CA,cl-don,0.1,0.1,-1.1,-0.6
California,CA,cl-mem,0.4,0.1,0.1,0.1
